pískovištích	písk ov išt -ích	pískoviště	písk ov išt -ě
rozjívence	roz jív en c -e	rozjívenec	roz jív en ec -0
rozkašle	roz kašl e -0	rozkašlat	roz kašl a -t
rozkročen	roz kroč en -0	rozkročit	roz kroč i -t
rozkvetla	roz kvet l -a	rozkvést	roz kvés -t
rozloučenou	roz louč en -ou	rozloučená	roz louč en -á
rozmnoženy	roz množ en -y	rozmnožit	roz množ i -t
rozpacích	roz pac -ích	rozpaky	roz pak -y
rozprostřeli	roz pro stř e l -i	rozprostřít	roz pro stř í -t
rozrušena	roz ruš en -a	rozrušit	roz ruš i -t
rozškrtl	roz škrt l -0	rozškrtnout	roz škrt nou -t
roztahány	roz tah á n -y	roztahat	roz tah a -t
roztaženýma	roz taž en -ýma	roztažený	roz taž en -ý
roztrhán	roz trh á n -0	roztrhat	roz trh a -t
rozutečou	roz u teč ou -0	rozutéci	roz u téc -i
rozumí	roz um í -0	rozumět	roz um ě -t
rozvětvené	roz větv en -é	rozvětvený	roz větv en -ý
rozvinulo	roz vi nu l -o	rozvinout	roz vi nou -t
rozzuřují	roz zuř uj -í	rozzuřovat	roz zuř ova -t
rozešel	roze š e l -0	rozejít	roze j í -t
rozepnul	roze p nu l -0	rozepnout	roze p nou -t
rozepsáno	roze ps á n -o	rozepsat	roze ps a -t
rozestavím	roze stav í -m	rozestavit	roze stav i -t
rozevřenýma	roze vř e n -ýma	rozevřený	roze vř e n -ý
rozezněla	roze zn ě l -a	rozeznít	roze zn í -t
rublů	rubl -ů	rubl	rubl -0
nerušili	ne ruš i l -i	rušit	ruš i -t
rušném	ruš n -ém	rušný	ruš n -ý
růží	růž -í	růže	růž -e
rynkem	rynk -em	rynek	rynek -0
rýpne	rýp ne -0	rýpnout	rýp nou -t
nerýsovalo	ne rýs ova l -o	rýsovat	rýs ova -t
řádí	řád í -0	řádit	řád i -t
řádná	řád n -á	řádný	řád n -ý
ředitelově	ředitel ov -ě	ředitelův	řed i tel -0
ředkviček	ředkv iček -0	ředkvička	ředkv ičk -a
řeky	řek -y	řeka	řek -a
řekl	řek l -0	říci	říc -i
říděj	říd ěj -0	řídit	říd i -t
řídícímu	říd íc -ímu	řídící	říd íc -í
řídkým	říd k -ým	řídký	říd k -ý
říkal	řík a l -0	říkat	řík a -t
římsách	říms -ách	římsa	říms -a
říší	říš -í	říše	říš -e
řval	řv a l -0	řvát	řv á -t
shledanou	s hled a n -ou	shledaná	s hled a n -á
shodli	s hod l -i	shodnout	s hod nou -t
shodovalo	s hod ova l -o	shodovat	s hod ova -t
shrnul	s hr nu l -0	shrnout	s hr nou -t
schodišti	s chod išt -i	schodiště	s chod iště -0
schopno	s chop n -o	schopný	s chop n -ý
schoulena	s choul en -a	schoulit	s choul i -t
schovaní	s chov a n -í	schovaný	s chov a n -ý
zchrastil	z chrast i l -0	schrastit	s chrast i -t
schůdkům	s chůd k -ům	schůdek	s chůd ek -0
schůdcích	s chůd c -ích	schůdky	s chůd k -y
schváleny	s chvál en -y	schválit	s chvál i -t
sjednáno	s jedn á n -o	sjednat	s jedn a -t
sjezdu	s jezd -u	sjezd	s jezd -0
skládáme	s klád á -me	skládat	s klád a -t
skladbě	s klad b -ě	skladba	s klad b -a
skladišti	s klad išt -i	skladiště	s klad išt -ě
sklony	s klon -y	sklon	s klon
sklopenýma	s klop en -ýma	sklopený	s klop en -ý
sklouznul	s klouz nu l -0	sklouznout	s klouz nou -t
skončíme	s konč í -me	skončit	s konč i -t
skrývají	s krý v aj -í	skrývat	s krý v a -t
sletí	s let í -0	sletět	s let ě -t
slibte	s lib -te	slíbit	s líb i -t
slibuji	s lib uj -i	slibovat	s lib ova -t
slohovému	s loh ov -ému	slohový	s loh ov -ý
složena	s lož en -a	složit	s lož i -t
nesmetl	ne s met l -0	smést	s més -t
nesnášel	ne s náš e l -0	snášet	s náš e -t
snídaní	s níd a n -í	snídaně	s níd a n -ě
snědl	s něd l -0	sníst	s nís -t
nespadá	ne s pad á -0	spadat	s pad a -t
spad	s pad -0	spadnout	s pad nou -t
spáse	s pás -e	spása	s pás -a
spisů	s pis -ů	spis	s pis -0
spisovatelé	s pis ova tel -é	spisovatel	s pis ova tel -0
splnili	s pln i l -i	splnit	s pln i -t
spotřebuje	s po třeb uje -0	spotřebovat	s po třeb ova -t
spojeno	s poj en -o	spojit	s poj i -t
srozuměni	s roz um ě n -i	srozumět	s roz um ě -t
stáhnu	s táh n -u	stáhnout	s táh nou -t
stísněném	s tísn ěn -ém	stísněný	s tísn ěn -ý
stočil	s toč i l -0	stočit	s toč i -t
svádí	s vád í -0	svádět	s vád ě -t
svážou	s váž ou -0	svázat	s váz a -t
svazkům	s vaz k -ům	svazek	s vaz ek -0
nesvěřovala	ne s věř ova l -a	svěřovat	s věř ova -t
svlékla	s vlék l -a	svléknout	s vlék nou -t
sabotáže	sabot áž -e	sabotáž	sabot áž -0
sáčky	sáč k -y	sáček	sáč ek -0
nesahá	ne sah á -0	sahat	sah a -t
salamandrů	salamandr -ů	salamandr	salamandr -0
salonu	salon -u	salón	salón -0
salonku	salon k -u	salónek	salón ek -0
salutuju	salut uj -u	salutovat	salut ova -t
samečka	sam eč k -a	sameček	sam eč ek -0
sečetla	se čet l -a	sečíst	se čís -t
seženu	se žen -u	sehnat	se hn a -t
sňal	s ň a l -0	sejmout	se j mou -t
seřazuje	se řaz uje -0	seřazovat	se řaz ova -t
nesesedl	ne se sed l -0	sesednout	se sed nou -t
sešlejší	se š l ejš -í	sešlý	se š l -ý
setkal	se tk a l -0	setkat	se tk a -t
setřel	se tř e l -0	setřít	se tř í -t
sevřely	se vř e l -i	sevřít	se vř í -t
sebevědomým	seb -e věd om -ým	sebevědomý	seb -e věd om -ý
sebevraždě	seb -e vražd -ě	sebevražda	seb -e vražd -a
sedačkami	sed a čk ami	sedačka	sed a čk -a
sedadle	sed a dl -e	sedadlo	sed a dl -o
sedátek	sed á tek -0	sedátko	sed á tk -o
sedí	sed í -0	sedět	sed ě -t
sekyrou	sekyr -ou	sekyra	sekyr -a
senzačnější	senzač n ějš -í	senzační	senzač n -í
signály	signál -y	signál	signál -0
silněji	sil n ě j -i	silně	sil n -ě
siluety	siluet -y	silueta	siluet -a
síni	sín -i	síň	síň -0
sirku	sirk -u	sirka	sir k -a
sírové	sír ov -é	sírový	sír ov -ý
sirotky	sirot k -y	sirotek	sirot ek -0
síti	sít -i	síť	síť -0
skále	skál -e	skála	skál -a
skla	skl -a	sklo	skl -o
sklepě	sklep -ě	sklep	sklep -0
skotské	skot sk -é	skotská	skot sk -á
skříní	skřín -í	skříň	skříň -0
skříňce	skříň c -e	skříňka	skříň k -a
slabostí	slab ost -í	slabost	slab ost -0
slečno	slečn -o	slečna	slečn -a
sledovala	sled ova l -a	sledovat	sled ova -t
sloupce	sloup c -e	sloupec	sloup ec -0
sluhu	sluh -u	sluha	sluh -a
neslušný	ne sluš n -ý	slušný	sluš n -ý
slůvek	slův ek -0	slůvko	slův k -o
služebných	služ eb n -ých	služebná	služ eb n -á
neslyšel	ne slyš e l -0	slyšet	slyš e -t
nesmí	ne sm í -0	smět	sm ě -t
smažených	smaž en -ých	smažený	smaž en -ý
smetanovými	s met an ov -ými	smetanový	smetan ov -ý
smíchem	smích -em	smích	smích -0
smrkáčů	smrk áč -ů	smrkáč	smrk áč -0
nesmrtelné	ne smrt eln -é	smrtelný	smrt eln -ý
snili	sn i l -i	snít	sn í -t
snaze	snaz -e	snaha	snah -a
snažili	snaž i l -i	snažit	snaž i -t
soudruzi	sou druz -i	soudruh	sou druh -0
souhlasu	sou hlas -u	souhlas	sou hlas -0
souhlasili	sou hlas i l -i	souhlasit	sou hlas i -t
soustředěna	sou střed ěn -a	soustředit	sou střed i -t
soudíte	soud í -te	soudit	soud i -t
spaly	sp a l -y	spát	sp á -t
spolujezdce	spolu jezd c -e	spolujezdec	spolu jezd ec -0
spolužákům	spolu žák -ům	spolužák	spolu žák -0
sporty	sport -y	sport	sport -0
stovkou	st ovk -ou	stovka	st ovk -a
nestačím	ne stač í -m	stačit	stač i -t
stalinismu	stalin ism -u	stalinismus	stalin ism -us
nestarala	ne star a l -a	starat	star a -t
starochům	star och -ům	staroch	star och -0
starosti	star ost -i	starost	star ost -0
starce	star c -e	stařec	stař ec -0
staříkovi	stař ík -ovi	stařík	stař ík -0
stavu	stav -u	stav	stav -0
stavím	stav í -m	stavit	stav i -t
stehny	stehn -y	stehno	stehn -o
stodole	stodol -e	stodola	stodol -a
stolku	stol k -u	stolek	stol ek -0
strání	stran í -0	stráň	stráň -0
stránek	strán ek -0	stránka	strán k -a
strašlivější	straš liv ějš -í	strašlivý	straš liv -ý
strážníci	stráž níc -i	strážník	stráž ník -0
stroje	stroj -e	stroj	stroj -0
stromy	strom -y	strom	strom -0
strýčkovi	strýč k -ovi	strýček	strýč ek -0
středem	střed -em	střed	střed -0
střeše	střeš -e	střecha	střech -a
střevíčky	střevíč k -y	střevíček	střevíč ek -0
stříbrnými	stříbr n -ými	stříbrný	stříbr n -ý
střídaly	stříd a l -y	střídat	stříd a -t
nestřílel	ne stříl e l -0	střílet	stříl e -t
studni	studn -i	studně	studn -ě
studnicí	studn ic -í	studnice	studn ic -e
stolu	stol -u	stůl	stůl -0
stužky	stuž k -y	stužka	stuž k -a
stydím	styd í -m	stydět	styd ě -t
sunul	su nu l -0	sunout	su nou -t
sukněma	sukn -ěma	sukně	sukn -ě
suknem	sukn -em	sukno	sukn -o
sutí	sut -í	suť	suť -0
svalnatá	sval nat -á	svalnatý	sval nat -ý
svalovou	sval ov -ou	svalový	sval ov -ý
nejsvětější	nej svět ějš -í	svatý	svat -ý
světci	svět c -i	světec	svět ec -0
světélkem	svět él k -em	světélko	svět él k -o
světlejší	svět l ejš -í	světlý	svět l -ý
světskému	svět sk -ému	světský	svět sk -ý
světýlka	svět ýl k -a	světýlko	svět ýl k -o
svícnem	svíc n -em	svícen	svíc en -0
synu	syn -u	syn	syn -0
synáčku	syn áčk -i	synáček	syn áček -0
synka	syn k -a	synek	syn ek -0
synovcem	syn ovc -em	synovec	syn ovec -0
sýra	sýr -a	sýr	sýr -0
šálku	šálk -u	šálek	šálek -0
šatech	šat -ech	šaty	šat -y
šátkem	šát k -em	šátek	šát ek -0
šedýma	šed -ýma	šedý	šed -ý
šedivého	šed iv -ého	šedivý	šed iv -ý
šeptne	šept ne -0	šeptnout	šept nou -t
šeru	šer -u	šero	šer -o
nešifrované	ne šifr ova n -é	šifrovaný	šifr ova n -ý
šíleni	šíl en -i	šílený	šíl e n -ý
školáci	škol ác -i	školák	škol ák -0
neškrtám	ne škrt á -m	škrtat	škrt a -t
škubnutím	škub nu t -ím	škubnutí	škub nu t -í
šlapaje	šlap aj -e	šlapat	šlap a -t
nešmakují	ne šmak uj -í	šmakovat	šmak ova -t
šňůře	šňůř -e	šňůra	šňůr -a
šohajky	šohaj k -y	šohajek	šohaj ek -0
špičku	špič k -u	špička	špič k -a
šťastní	šťast n -í	šťastný	šťast n -ý
štěpnicemi	štěp n ic -emi	štěpnice	štěp nic -e
štítky	štít k -y	štítek	štít ek -0
štvali	štv a l -i	štvát	štv á -t
šunkofleků	šunk +o flek -ů	šunkofleky	šunk +o flek -y
šuplátek	šupl átek -0	šuplátko	šupl átk -o
švagrové	švagr -ové	švagrová	švagr ov -á
tabulí	tabul -í	tabule	tabul -e
táhnou	táh n ou -0	táhnout	táh nou -t
tajnému	taj n -ému	tajný	taj n -ý
talentu	talent -u	talent	talent -0
tančíte	tanč í -te	tančit	tanč i -t
tápali	táp a l -i	tápat	táp a -t
tatínkovi	tat ínk -ovi	tatínek	tat ínek -0
tátova	tát ov -a	tátův	tát ův -0
tážeme	táž e -me	tázat	táz a -t
tekl	tek l -0	téci	téc -i
telat	tel at -0	tele	tel -e
temnotě	temn ot -ě	temnota	temn ot -a
terase	teras -e	terasa	teras -a
těší	těš í -0	těšit	těš i -t
tetřeva	tetřev -a	tetřev	tetřev -0
tichu	tich -u	ticho	tich -o
tichým	tich -ým	tichý	tich -ý
tiskly	tisk l -y	tisknout	tisk nou -t
tísnivém	tísn iv -ém	tísnivý	tísn iv -ý
titulky	titul k -y	titulek	titul ek -0
tlačenicí	tlač en ic -í	tlačenice	tlač en ic -e
tlukouc	tluk ouc -0	tlouci	tlouc -i
tlouštíka	tloušt ík -a	tlouštík	tloušt ík -0
tonuly	to nu l -y	tonout	to nou -t
tolika	tolik -a	tolik	tolik
toužil	touž i l -0	toužit	touž i -t
továrně	továr n -ě	továrna	továr n -a
rozrušují	roz ruš uj -í	rozrušovat	toz ruš ova -t
rozsvítili	roz svít i l -i	rozsvítit	toz svít i -t
trnutím	tr nu t -ím	trnutí	tr nu t -í
transakci	trans akc -i	transakce	trans akc -e
trav	trav -0	tráva	tráv -a
trenérovi	tren ér -ovi	trenér	tren ér -0
triumfálního	trium ál n -ího	triumfální	triumf ál n -í
trnkových	trn k ový -ch	trnkový	trn k ov -ý
tropickém	trop ick -ém	tropický	trop ick -ý
troufá	trouf á -0	troufat	trouf a -t
třela	tř e l -a	třít	tř í -t
netřesou	ne třes ou -0	třást	třás -t
třískají	třísk aj -í	třískat	třísk a -t
tuctu	tuct -u	tucet	tucet -0
tuři	tuř -i	tur	tur -0
turečtí	tureč t -í	turecký	turec k -ý
netušícího	ne tuš íc -ího	tušící	tuš íc -í
tužeb	tuž eb -0	tužba	tuž b -a
tváři	tvář -i	tvář	tvář -0
tváříte	tvář í -te	tvářit	tvář i -t
tvrdí	tvrd í -0	tvrdý	tvrd -ý
tyfem	tyf -em	tyfus	tyf -us
netýká	ne týk á -0	týkat	týk a -t
ubíhají	u bíh aj -í	ubíhat	u bíh a -t
ubíralo	u bír a l -o	ubírat	u bír a -t
neublíží	ne u blíž í -0	ublížit	u blíž i -t
ubohej	u boh -ej	ubohý	u boh -ý
ubytují	u byt uj -í	ubytovat	u byt ova -t
úctyhodnému	ú ct -y hod n -ému	úctyhodný	ú ct -y hod n -ý
účtech	ú čt -ech	účet	ú čet -0
učiněno	u čin ěn -o	učinit	u čin i -t
účinnější	čin n ějš -í	účinný	ú čin n -ý
události	u d á l ost -i	událost	u d á l ost -0
udělám	u děl á -m	udělat	u děl a -t
úderu	ú der -u	úder	ú der -0
udivilo	u div i l -o	udivit	u div i -t
neudržitelnou	ne u drž i teln ou -0	udržitelný	u drž i teln -ý
udýchanej	u dých a n -ej	udýchaný	u dých a n -ý
uhnul	u h nu l -0	uhnout	u h nou -t
uhozené	u hoz en -é	uhozený	u hoz en -ý
neúhybným	ne ú hyb n -ým	úhybný	ú hyb n -ý
ujedou	u jed ou -0	ujet	u je -t
ujde	u jd e -0	ujít	u jí -t
ujišťuji	u jišť uj -i	ujišťovat	u jišť ova -t
ukážu	u káž u -0	ukázat	u káz a -t
uklidnili	u klid n i l -i	uklidnit	u klid n i -t
uklouzlo	u klouz l -o	uklouznout	u klouz nou -t
ukryl	u kry l -0	ukrýt	u krý -t
neukvapeného	ne u kvap en -ého	ukvapený	u kvap en -ý
ulétli	u lét l -i	ulétnout	u lét nou -t
ulítla	u lít l -a	ulítnout	u lít nou -t
umíraje	u mír aj -e	umírat	u mír a -t
umístěny	u míst ěn -y	umístit	u míst i -t
umřela	u mř e l -a	umřít	u mř í -t
umyl	u my l -0	umýt	u mý -t
unavení	u nav en -í	unavený	u nav en -ý
unavena	u nav en -a	unavit	u nav i -t
neúnavnou	ne ú nav n -ou	únavný	ú nav n -ý
unavujou	u nav uj -ou	unavovat	u nav ova -t
unesl	u nes l -0	unést	u nés -t
uniknete	u nik ne -te	uniknout	u nik nou -t
upekla	u pek l -a	upéci	u péc -i
upevněna	u pevn ěn -a	upevnit	u pevn i -t
neupije	ne u pi je -0	upít	u pí -t
upíral	u pír a l -0	upírat	u pír a -t
upozorňujeme	u po zor ň uje -me	upozorňovat	u po zor ň ova -t
upoutávalo	u pout á v a l -o	upoutávat	u pout á v a -t
neupravenou	ne u prav en -ou	upravený	u prav en -ý
upřel	u př e l -0	upřít	u př í -t
urážena	u ráž en -a	urážet	u ráž e -t
určeno	u rč en -o	určit	u rč i -t
určitého	u rč i t -ého	určitý	u rč i t -ý
určitostí	u rč it ost -í	určitost	u rč it ost
úroky	ú rok -y	úrok	ú rok -0
úředním	ú řed n -ím	úřední	ú řed n -í
úředníci	ú řed níc -i	úředník	ú řed ník -0
uschopňují	u s chop ň uj -í	uschopňovat	u s chop ň ova -t
usneš	u s ne -š	usnout	u s nou -t
uspokojen	u s po koj en -0	uspokojit	u s po koj i -t
neuspořádané	ne u s po řád a n -é	uspořádaný	u s po řád a n -ý
usedlostech	u sed l ost -ech	usedlost	u sed l ost -0
úsecích	ú sec -ích	úsek	ú sek -0
úseková	ú sek ov -á	úsekový	ú sek ov -ý
usilují	u sil uj -í	usilovat	u sil ova -t
usínám	u sín á -m	usínat	u sín a -t
uskakuju	u skak uj -u	uskakovat	u skak ova -t
neuslyším	ne u slyš í -m	uslyšet	u slyš e -t
usměje	u smě je -0	usmát	u sm á -t
usmívá	u sm í v á -0	usmívat	u sm í v a -t
úspěšné	ú spěš n -é	úspěšný	ú spěš n -ý
úsvitě	ú svit -ě	úsvit	ú svit -0
ušil	u ši l -0	ušít	u ší -t
ušklíbl	u šklíb l -0	ušklíbnout	u šklíb nou -t
utaháš	u tah á -š	utahat	u tah a -t
utěšenému	u těš en -ému	utěšený	u těš en -ý
neuteklo	ne u tek l -o	utéci	u tét -i
utichají	u tich aj -í	utichat	u tich a -t
utíkaly	u tík a l -y	utíkat	u tík a -t
utkáme	u tk á -me	utkat	u tk a -t
utonuly	u to nu l -y	utonout	u to nou -t
útržků	ú trž k -ů	útržek	ú trž ek -0
utřel	u tř e l -0	utřít	u tř í -t
uvádí	u vád í -0	uvádět	u vád ě -t
neuvažovala	neu važ ova l -a	uvažovat	u važ ova -t
uvezeme	u vez e -me	uvézt	u véz -t
uvidíte	u vid í -te	uvidět	u vid ě -t
uvrženi	u vrž en -i	uvrhnout	u vrh nou -t
uznána	u zn á n -0	uznat	u zn a -t
užije	u ži je -0	užít	u ží -t
neučit	ne uč i -t	učit	uč i -t
učitelského	uč i tel sk -ého	učitelský	uč i tel -0
úhlu	úhl -u	úhel	úhel -0
uším	uš -ím	ucho	uch -o
uličkou	ulič k -ou	ulička	ulič k -a
ulsterští	ulster št -í	ulsterský	ulster sk -ý
umí	um í -0	umět	um ě -t
uniformě	uni form -ě	uniforma	uni form -a
nejútlejším	nej útl ejš -ím	útlý	útl -ý
vběhli	v běh l -i	vběhnout	v běh nou -t
nevdala	ne v d a l -a	vdát	v d á -t
vyhlídek	vy hlíd ek -0	vyhlídka	v hlíd k -a
vcházejíc	v cház ej íc -0	vcházet	v cház e -t
vklíněna	v klín ěn -a	vklínit	v klín i -t
vklouzla	v klouz l -a	vklouznout	v klouz nou -t
vkročil	v kroč i l -0	vkročit	v kroč i -t
vlezu	v lez u -0	vlézt	v léz -t
nevnímal	ne v ním a l -0	vnímat	v ním a -t
vpila	v pi l -a	vpít	v pí -t
vrazím	v raz í -m	vrazit	v raz i -t
vstali	v sta l -i	vstát	v stá -t
nejvábnější	nej váb n ějš -í	vábný	váb n -ý
vagónů	vagón -ů	vagón	vagón -0
vahou	vah -ou	váha	váh -a
válej	vál ej -0	válet	vál e -t
vatikánskému	vatikán sk ému	vatikánský	vatikán sk -ý
vázance	váz a n c -e	vázanka	váz a n k -a
vážim	váž i -m	vážit	váž i -t
vetřela	ve tř e l -a	vetřít	ve tř í -t
večír	večír -0	večer	večer -0
víte	v í -te	vědět	věd ě -T
vědci	věd c -i	vědec	věd ec -0
vědoma	věd om -a	vědomý	věd om -ý
vedru	vedr -u	vedro	vedr -o
vědru	vědr -u	vědro	vědr -o
vejpravu	vej prav -u	vejprava	vej prav -a
věnovány	věn ová n -y	věnovat	věn ova -t
věnce	věnc -e	věnec	věnec -0
verst	verst -0	versta	verst -a
věřim	věř i -m	věřit	věř i -t
vedu	ved -u	vést	vés -t
nevěšejí	ne věš ej -í	věšet	věš e -t
vět	vět -0	věta	vět -a
vezli	vez l -i	vézt	véz -t
věže	věž -e	věž	věž -0
neviditelná	ne vid iteln -á	viditelný	vid iteln -ý
vidlicích	vidl ic -e	vidlice	vidl ic -e
víří	víř í -0	vířit	víř i -t
visely	vis e l -y	viset	vis e -t
větrů	větr -ů	vítr	vítr -0
vizím	viz -ím	vize	viz -e
vlasti	vlast -i	vlast	vlast -0
vlhne	vlh ne -0	vlhnout	vlh nou -t
nevlídná	ne vlíd n -á	vlídný	vlídn -ý
vlci	vlc -i	vlk	vlk -0
vopije	vo pi je -0	vopít	vo pí -t
vodě	vod -ě	voda	vod -a
vodítku	vod í tk -u	vodítko	vod í tk -o
vodnes	vod nes -0	vodnést	vod nés -t
nevolají	ne vol aj -í	volat	vol a -t
vousech	vous -ech	vousy	vous -y
vozí	voz í -0	vozit	voz i -t
vozovce	voz ovk -a	vozovka	voz ovk -a
vracím	vrac í -m	vracet	vrac e -t
vrásek	vrás ek -0	vráska	vrás k -a
nevrátí	ne vrát í -0	vrátit	vrát i -t
vrátnici	vrát nic -i	vrátnice	vrát nic -e
vtrhly	v trh l -y	vtrhnout	vrh nou -t
vrhne	vrh ne -0	vrhnout	vrh nou -t
vršku	vrš k -u	vršek	vrš ek -0
vrzlo	vrz l -o	vrznout	vrz nou -t
nevšedního	ne všedn -ího	všední	všedn -í
všimla	všim l -a	všimnout	všim nou -t
vteřin	vteřin -0	vteřina	vteřin -a
vtipkařům	vtip k ař -ům	vtipkař	vtip k ař -0
voly	vol -y	vůl	vůl -0
voze	voz -e	vůz	vůz -0
vyli	vy l -i	výt	vý -t
vybídla	vy bíd l -a	vybídnout	vy bíd nou -t
vybíráš	vy bír á -š	vybírat	vy bír a -t
vyberte	vy ber -te	vybrat	vy br a -t
vybraným	vy br a n -ým	vybraný	vy br a n -ý
nevybuchne	ne vy buch ne -0	vybuchnout	vy buch nou -t
vycvičeni	vy cvič en -i	vycvičit	vy cvič i -t
vyčerpaná	vy čerp a n -á	vyčerpaný	vy čerp a n -ý
vyčetla	vy čet l -a	vyčíst	vy čís -t
vyčištěnej	vy čišt ěn -ej	vyčištěný	vy čišt ěn -ý
vydechne	vy dech ne -0	vydechnout	vy dech nou -t
vydlabanému	vy dlab a n -ému	vydlabaný	vy dlab an -ý
nevydržel	ne vy drž e l -0	vydržet	vy drž e -t
vyhánějí	vy hán ěj -í	vyhánět	vy hán ě -t
nevyhledávají	ne vy hled á v aj -í	vyhledávat	vy hled á v a -t
vyženu	vy žen -u	vyhnat	vy hn a -t
nevyhověla	ne vy hov ě l -a	vyhovět	vy hov ě -t
vyhrnula	vy hr nu l -a	vyhrnout	vy hr nou -t
vyhrnutými	vy hr nu t -ými	vyhrnutý	vy hr nu t -ý
vyhrkly	vy hrk l -y	vyhrknout	vy hrk nou -t
východě	vý chod -ě	východ	vý chod -0
vychutnáváme	vy chut n á v á -me	vychutnávat	vy chut n á v a -t
vyjádřeno	vy jádř en -o	vyjádřit	vy jádř i -t
nevyjadřuje	ne vy jadř uje -0	vyjadřovat	vy jadř ova -t
nevyjasněného	ne vy jas n ěn -ého	vyjasněný	vy jas n ěn -ý
vyjek	vy jek -0	vyjeknout	vy jek nou -t
vykašlem	vy kašl e -m	vykašlat	vy kašl a -t
vykládáme	vy klád á -me	vykládat	vy klád a -t
vykřikli	vy řkik l -i	vykřiknout	vy křik nou -t
vykvetl	vy kvet l -0	vykvést	vy kvés -t
výletě	vý let -ě	výlet	vý let -0
vylétne	vy lét ne -0	vylétnout	vy lét nou -t
vylez	vy lez -0	vylézt	vy léz -t
vylézaly	vy léz a l -y	vylézat	vy léz a -t
vyloučeni	vy louč en -i	vyloučit	vy louč i -t
vyměňuje	vy měň uje -0	vyměňovat	vy měň ova -t
výmluvností	vý mluv n ost -í	výmluvnost	vý mluv n ost -0
vymyslím	vy mysl í -m	vymyslet	vy mysl e -t
nevymýšlím	ne vy mýšl í -m	vymýšlet	vy mýšl e -t
vynálezcova	vy ná lez c ov -a	vynálezcův	vy ná lez c ův -0
vynášejí	vy náš ej -í	vynášet	vy náš e -t
nevyniká	ne vy nik á -0	vynikat	vy nik a -t
vynucenému	vy nuc en -ému	vynucený	vy nuc en -ý
vypni	vy p n -i	vypnout	vy p nou -t
vypnutelnými	vy p nu teln -ými	vypnutelný	vy p nu teln -ý
vypadneme	vy pad ne -me	vypadnout	vy pad nou -t
vypil	vy pi l -0	vypít	vy pí -t
vypínačem	vy pín ač -em	vypínač	vy pín ač -0
vyplivne	vy pliv ne -0	vyplivnout	vy pliv nou -t
vyplynuly	vy ply nu l -y	vyplynout	vy ply nou -t
výpovědi	vý po věd -i	výpověď	vý po věď -0
výpotky	vý pot k -y	výpotek	vý pot ek -0
vypoulenýma	vy poul en -ýma	vypoulený	vy poul en -ý
vyprahlého	vy prah l -ého	vyprahlý	vy prah l -ý
vyprávěli	vy práv ě l -i	vyprávět	vy práv ě -t
nevyprovokovaly	ne vy pro vok ova l -y	vyprovokovat	vy pro vok ova -t
nevyptávala	ne vy pt á v a l -a	vyptávat	vy pt á v a -t
vypůjčeny	vy půjč en -y	vypůjčit	vy půjč i -t
vypuštěnej	vy pušt ěn -ej	vypuštěný	vy pušt ěn -ý
nevyrábí	ne vy ráb í -0	vyrábět	vy ráb ě -t
vyrazíme	vy raz í -me	vyrazit	vy raz i -t
nevyráželi	ne vy ráž e l -i	vyrážet	vy ráž e -t
výrobků	vý rob k -ů	výrobek	vý rob ek -0
vyrostlo	vy rost l -o	vyrůst	vy růs -t
nevyrušovat	ne vy ruš ova -t	vyrušovat	vy ruš ova -t
nevyřešily	ne vy řeš i l -y	vyřešit	vy řeš i -t
nevyřízených	ne vy říz ený -ch	vyřízený	vy říz en -ý
vysadíme	vy sad í -me	vysadit	vy sad i -t
nevyskytovalo	ne vy skyt ova l -o	vyskytovat	vy skyt ova -t
vyšle	vy šl e -0	vyslat	vy sl a -t
výslechů	vý slech -ů	výslech	vý slech -0
vysloužilých	vy slouž i l -ých	vysloužilý	vy slouž i l -ý
vyslýchán	vy slých á n -0	vyslýchat	vy slých a -t
vysere	vy ser e -0	vysrat	vy sr a -t
výstavě	vý stav -ě	výstava	vý stav -a
nevysypalo	ne vy syp a l -o	vysypat	vy syp a -t
vyšetřovatelé	vy šetř ova tel -é	vyšetřovatel	vy šetř ova tel -0
nevyšplháš	ne vy šplh á -š	vyšplhat	vy šplh a -t
výtahům	vý tah -ům	výtah	vý tah -0
vytáhla	vy táh l -a	vytáhnout	vy táh nou -t
vytrácí	vy trác í -0	vytrácet	vy trác e -t
vytratím	vy trat í -m	vytratit	vy trat i -t
vytrhnu	vy trh n -u	vytrhnout	vy trh nou -t
nevytrubují	ne vy trub uj -i	vytrubovat	vy trub ova -t
vytryskly	vy trysk l -y	vytrysknout	vy trysk nou -t
vytřel	vy tř e l -0	vytřít	vy tř í -t
vytřeštěnýma	vy třešt ěn -ýma	vytřeštěný	vy třešt ěn -ý
vytvářeno	vy tvář e n -o	vytvářet	vy tvář e -t
vytvoříme	vy tvoř í -me	vytvořit	vy tvoř i -t
vytýkáno	vy týk á n -o	vytýkat	vy týk a -t
vyvázne	vy váz ne -0	vyváznout	vy váz nou -t
vyved	vy ved -0	vyvést	vy vés -t
vyvíjen	vy víj en -0	vyvíjet	vy víj -í
vývodama	vý vod -ama	vývod	vý vod -0
vyvracela	vy vrac e l -a	vyvracet	vy vrac e -t
vyzpovídej	vy z po víd ej -0	vyzpovídat	vy z po víd a -t
nevyznám	ne vy zn á -m	vyznat	vy zn a -t
nevyzní	ne vy zn í -0	vyznít	vy zn í -t
vyžadují	vy žad uj -i	vyžadovat	vy žad ova -t
výři	výř -i	výr	výr -0
