vysoudit	vy-soud-i-t
walter	walter
omílat	o-míl-a-t
mejzlík	mejzlík
zavtipkovat	za-vtip-k-ova-t
grófinkou	grófink-ou
písmolijna	pís-m-o-lij-n-a
opotit	o-pot-i-t
přilít	při-lí-t
volají	vol-aj-í
vytleskat	vy-tlesk-a-t
rota	rot-a
knajpa	knajp-a
pruh	pruh
vypnout	vy-pn-ou-t
povečeřet	po-večeř-e-t
hegelianism	hegelian-ism
naštipovat	na-štip-ova-t
květoslav	květ-o-slav
rozmáčet	roz-máč-e-t
amortizovat	a-mort-iz-ova-t
misce	mis-c-e
ustání	u-stá-n-í
prokmitnout	pro-kmit-nou-t
potvrdily	po-tvrd-i-l-y
venčit	ven-č-i-t
porůsti	po-růs-ti
zabroukat	za-brouk-a-t
šňůra	šňůr-a
žulit	žul-i-t
popularizovaný	popular-iz-ova-n-ý
držel	drž-e-l
galantnosti	gal-ant-n-ost-i
táhněte	táh-n-ě-te
technický	techn-ic-k-ý
přihopkovat	při-hop-k-ova-t
nezasténal	ne-za-stén-a-l
shodný	shodn-ý
megasráččin	mega-sráč-č-in
fechnera	fechner-a
fax	fax
chlapovi	chlap-ovi
nežádat	ne-žád-a-t
vybilancovat	vy-bi-lanc-ova-t
germán	germán
slída	slíd-a
mnohaciferné	mnoh-a-cifer-n-é
úkornost	ú-kor-n-ost
babulakův	babulak-ův
nabubřet	na-bubř-e-t
doinstalovat	do-in-stal-ova-t
drogovat	drog-ova-t
semipermanentní	semi-permanent-n-í
otupět	o-tup-ě-t
zhloupět	z-hloup-ě-t
demilitarizovat	de-milit-ar-iz-ova-t
zašermovat	za-šerm-ova-t
mladá	mlad-á
šéflektor	šéf-lekt-or
žvejkat	žvejk-a-t
akupresurou	aku-pres-ur-ou
natáhnout	na-táh-nou-t
sklížit	s-klíž-i-t
videoukázka	vide-o-u-káz-k-a
dranc	dranc
zemědělství	zem-ě-děl-stv-í
díky	dík-y
stydí	styd-í
skleníku	skl-en-ík-u
beranit	beran-i-t
povoženě	po-vož-en-ě
kabristanů	kabristan-ů
koukněte	kouk-n-ě-te
zafaxovat	za-fax-ova-t
praštit	prašt-i-t
pizzo	pizz-o
nápis	ná-pis
protýkat	pro-týk-a-t
vyholovat	vy-hol-ova-t
kobce	kob-c-e
platí	plat-í
ostuda	o-stud-a
zellová	zell-ov-á
kategoriemi	kategor-i-emi
polyester	poly-ester
opucovat	o-puc-ova-t
zlodějčinou	zl-o-děj-č-in-ou
pitomější	pitom-ěj-š-í
černočerná	čern-o-čern-á
planš	planš
mandle	mandl-e
hrdinství	hrd-in-stv-í
odvlékat	od-vlék-a-t
dekorovat	dekor-ova-t
vítězství	vítěz-ství
dílny	díl-n-y
záhy	záh-y
krajánka	kraj-án-k-a
udeřit	u-deř-i-t
kritizují	krit-iz-uj-í
novosvětské	nov-o-svět-sk-é
macha	mach-a
vměstnávat	v-měst-n-á-v-a-t
defraudanta	de-fraud-ant-a
uždíbnout	u-ždíb-nou-t
okolnost	o-kol-n-ost
swapovat	swap-ova-t
matějka	matěj-k-a
ordinovávat	ordin-ová-v-a-t
temný	tem-ný
zrcadlo	zrc-a-dl-o
neměnné	ne-měn-n-é
vzepřenou	vze-př-e-n-ou
ektogenní	ekt-o-gen-n-í
snažil	snaž-i-l
vyfoukávat	vy-fouk-á-v-a-t
odlívat	od-lí-v-a-t
monopolizovat	mono-pol-iz-ova-t
samostatnou	sam-o-stat-n-ou
pomlít	po-ml-í-t
stejnou	stejn-ou
byť	byť
poskytováním	po-skyt-ová-n-ím
brzy	brzy
zledovatět	z-led-ov-at-ě-t
identifikaci	identi-fik-ac-i
připadávat	při-pad-á-v-a-t
ztrátách	z-trát-ách
nahlodávat	na-hlod-á-v-a-t
radovan	rad-ova-n
courat	cour-a-t
bratři	bratř-i
drah	drah
jsi	js-i
třetiligová	tř-et-i-lig-ov-á
smutné	smut-n-é
problýskat	pro-blýsk-a-t
propojených	pro-poj-en-ých
rozpumpovat	roz-pump-ova-t
skutečna	skuteč-n-a
začínáme	za-č-ín-á-me
praktické	prakt-ic-k-é
teletext	tele-text
jiskra	jiskr-a
předplatit	před-plat-i-t
siloměr	sil-o-měr
klímat	klím-a-t
nikoliv	ni-koliv
transliterovat	trans-liter-ova-t
tříska	třísk-a
oválet	o-vál-e-t
lokomotiva	lokomotiv-a
zlátnout	zlát-nou-t
povzbuzením	po-vz-buz-en-ím
ultrakomerčních	ultra-komerč-n-ích
soutěži	sou-těž-i
stydět	styd-ě-t
vystavila	vy-stav-i-l-a
zkomisnět	z-ko-mis-n-ě-t
očumovat	o-čum-ova-t
kožnatět	kož-n-at-ě-t
odvažovat	od-važ-ova-t
proinvestovat	pro-in-vest-ova-t
rozvadit	roz-vad-i-t
vysokého	vys-ok-ého
kloktat	klokt-a-t
imputovat	im-put-ova-t
prospěšnější	pro-spěš-n-ěj-š-í
přenechala	pře-nech-a-l-a
taj	taj
odplachtit	od-placht-i-t
prudce	prudc-e
odvětrávat	od-větr-á-v-a-t
koule	koul-e
glajchšaltovat	glajch-šalt-ova-t
zaškobrtat	za-škobrt-a-t
neposedná	ne-po-sed-n-á
okrvavět	o-krv-av-ě-t
skarn	skarn
odbouchnout	od-bouch-nou-t
sedmitisícové	sedm-i-tisíc-ov-é
plíce	plíc-e
vybraný	vy-br-a-n-ý
vésti	vés-ti
hydrosféry	hydr-o-sfér-y
elliott	elliott
procenta	procent-a
odhlavičkovat	od-hlav-ič-k-ova-t
vyzbrojovat	vy-z-broj-ova-t
láteřit	láteř-i-t
souvislosti	sou-vis-l-ost-i
udělám	u-děl-á-m
pentlit	pentl-i-t
nápadně	ná-pad-n-ě
dokud	do-k-ud
obruby	ob-rub-y
konstatovati	kon-stat-ova-ti
dostanou	do-sta-n-ou
abušinovův	abušinov-ův
stadium	stadi-um
ukamenovat	u-kamen-ova-t
skulit	s-kul-i-t
zvelebnit	z-veleb-n-i-t
nabízeny	na-bíz-en-y
podvléknout	pod-vlék-nou-t
přeložte	pře-lož-te
vpéci	v-péc-i
čtecí	čtec-í
důrazností	dů-raz-n-ost-í
hrušku	hruš-k-u
náramní	ná-ram-n-í
zatelefonujte	za-tele-fon-uj-te
vše	vš-e
ničema	nič-em-a
vypočítal	vy-po-čít-a-l
ostwald	ostwald
há	há
vyvrknout	vy-vrk-nou-t
velkomoravský	vel-k-o-morav-sk-ý
paprikovat	papr-ik-ova-t
pykat	pyk-a-t
expropriovat	ex-propri-ova-t
tolika	tolik-a
bobečku	bob-eč-k-u
pronaříkat	pro-na-řík-a-t
zostražitět	z-o-straž-it-ě-t
zjemnit	z-jem-n-i-t
odra	odr-a
šíbr	šíbr
sebedokonalejší	seb-e-do-kon-a-l-ejš-í
automatický	auto-mat-ick-ý
probleskávat	pro-blesk-á-v-a-t
zchvacovat	z-chvac-ova-t
tržby	trž-b-y
moore	moore
účast	ú-čast
rotmistra	rot-mistr-a
odložit	od-lož-i-t
studijní	stud-ij-n-í
čtyřgólový	čtyř-gól-ov-ý
přesekat	pře-sek-a-t
žatecké	žatec-k-é
uklínovat	u-klín-ova-t
přisednout	při-sed-nou-t
přemohla	pře-moh-l-a
nach	nach
zažebrat	za-žebr-a-t
sloupat	s-loup-a-t
zastavit	za-sta-v-i-t
znova	z-nov-a
sekvestrovat	sekvestr-ova-t
břinknout	břink-nou-t
pomekávat	po-mek-á-v-a-t
zabsolutnět	z-ab-sol-ut-n-ě-t
přiháčkovat	při-háč-k-ova-t
zakalkulovávat	za-kalk-ul-ová-v-a-t
krunýře	krunýř-e
vybíhávat	vy-bíh-á-v-a-t
vybírání	vy-bír-á-n-í
platební	plat-eb-n-í
dosytit	do-syt-i-t
val	val
uhnat	u-hn-a-t
velříše	vel-říš-e
politovat	po-lit-ova-t
betaverze	beta-verz-e
ušetřovávatelný	u-šetř-ová-v-a-teln-ý
předat	pře-d-a-t
kontaktu	kon-takt-u
verze	verz-e
tacl	tacl
lípat	líp-a-t
zisk	zisk
holubičku	holub-ič-k-u
bigbítový	big-bít-ov-ý
partnery	partner-y
lisa	lis-a
odrapovávat	od-rap-ová-v-a-t
zbídačit	z-bíd-ač-i-t
proškrtávat	pro-škrt-á-v-a-t
maloburžoazie	mal-o-buržoaz-i-e
povolá	po-vol-á
pracovávat	prac-ová-v-a-t
zahrál	za-hrá-l
happening	happen-ing
senna	senn-a
rozečísti	roze-čís-ti
bláznivé	blázn-iv-é
věrným	věr-n-ým
tančily	tanč-i-l-y
šmirglovat	šmirgl-ova-t
ujde	u-jd-e
dopět	do-pě-t
nepracoval	ne-prac-ova-l
postýsknout	po-s-týsk-nou-t
prejudikovat	pre-judik-ova-t
tlamou	tlam-ou
fládr	fládr
zaevidovat	za-e-vid-ova-t
vyléčit	vy-léč-i-t
upažovat	u-paž-ova-t
zageneralisovat	za-general-isova-t
zařinčet	za-řinč-e-t
technologie	techn-o-log-i-e
povinné	po-vin-n-é
nedělejte	ne-děl-ej-te
absolutních	absolut-n-ích
vnitropsychický	v-nitr-o-psych-ic-k-ý
kurzů	kurz-ů
rámcovat	rám-c-ova-t
následovat	ná-sled-ova-t
rychetský	rychet-sk-ý
odvedeného	od-ved-en-ého
vykonávání	vy-kon-á-v-á-n-í
popučovávaný	po-puč-ová-v-a-n-ý
jihoarabský	jih-o-arab-sk-ý
zamluven	za-mluv-en
dózovat	dóz-ova-t
borba	borb-a
zdvojnásobovat	z-dvoj-ná-sob-ova-t
rozkreslit	roz-kres-l-i-t
zacinkal	za-cink-a-l
zprůzračnět	z-prů-zr-ač-n-ě-t
vyeliminovat	vy-e-limin-ova-t
dorážet	do-ráž-e-t
odstupovat	od-stup-ova-t
cifrovat	cifr-ova-t
malajsie	malajsi-e
vodnést	vod-nés-t
jedinečnost	jedin-eč-n-ost
losovat	los-ova-t
velkostatkářů	vel-k-o-stat-k-ář-ů
strašnic	strašnic
celkově	cel-k-ov-ě
kontinuální	kon-tinu-ál-n-í
konečník	koneč-n-ík
voskovatět	vosk-ov-at-ě-t
šprcka	šprck-a
proklešťovat	pro-klešť-ova-t
obvolat	ob-vol-a-t
pokouší	po-kouš-í
zvědavost	z-věd-a-v-ost
uprášit	u-práš-i-t
širší	šir-š-í
pluk	pluk
normalizovaných	norm-al-iz-ova-n-ých
přišinout	při-šin-ou-t
prostějovsko	prostějov-sk-o
novoměstské	nov-o-měst-sk-é
vyděsit	vy-děs-i-t
názor	ná-zor
nesprávné	ne-s-práv-n-é
sebevědomý	seb-e-věd-om-ý
prut	prut
dofinišovat	do-finiš-ova-t
zveřejněné	z-veřej-n-ě-n-é
konstrukce	kon-struk-c-e
lapa	lap-a
hospodách	hospod-ách
hrabátky	hrab-át-k-y
vzájemného	vzájem-n-ého
načichnout	na-čich-nou-t
paráda	parád-a
polototalitní	polo-total-it-n-í
chtěj	cht-ě-j
ouřední	ou-řed-n-í
beckham	beck-ham
přejmenovat	pře-jmen-ova-t
panorámovat	pano-rám-ova-t
konečně	koneč-n-ě
pokapávat	po-kap-á-v-a-t
tetřeva	tetřev-a
oddílů	od-díl-ů
rekordman	rekord-man
ulehli	u-leh-l-i
telecí	tel-ec-í
prošvejkovat	pro-švejk-ova-t
plodná	plod-n-á
penále	penále
triatlon	tri-atlon
exekvovat	exe-kv-ova-t
hašením	haš-en-ím
kolos	kolos
word	word
vždycky	vždycky
zasimilovat	z-a-simil-ova-t
klekávat	klek-á-v-a-t
štajfovat	štajf-ova-t
áčko	á-čk-o
vyprojektovat	vy-pro-jekt-ova-t
ponechat	po-nech-a-t
pokřikoval	po-křik-ova-l
dokumentu	dokument-u
nechytli	ne-chyt-l-i
strečovat	streč-ova-t
biochlapeček	bio-chlap-eč-ek
bábou	báb-ou
masturbovat	masturb-ova-t
vylíhl	vy-líh-l
zkonsolidovat	z-kon-sol-id-ova-t
déšť	déšť
operací	oper-ac-í
obálce	o-bál-c-e
zhoufovat	z-houf-ova-t
supit	sup-i-t
přestoupnout	pře-stoup-nou-t
jinému	jin-ému
oligonukleotidů	oligo-nukle-o-tid-ů
překomponovat	pře-kom-pon-ova-t
krohe	krohe
aukční	aukč-n-í
řím	řím
odposlouchat	od-po-slouch-a-t
ozval	o-zv-a-l
ocelové	ocel-ov-é
severních	sever-n-ích
redislokovat	re-dis-lok-ova-t
lžu	lž-u
rašit	raš-i-t
zšedivět	z-šed-iv-ě-t
zúzkostnět	z-úzk-ost-n-ě-t
antibiotika	anti-bio-t-ik-a
šanghaj	šanghaj
transformuje	trans-form-uj-e
důsledkem	dů-sled-k-em
zazurčet	za-zurč-e-t
rdít	rd-í-t
nepřijít	ne-při-jí-t
pravdivosti	prav-d-iv-ost-i
prostornou	prostor-n-ou
důsledku	dů-sled-k-u
pane	pan-e
stoupnout	stoup-nou-t
dařívat	dař-í-v-a-t
upřednostňovat	u-před-n-ost-ň-ova-t
zestručnit	ze-struč-n-i-t
sváteční	svát-eč-n-í
vytopit	vy-top-i-t
vidný	vidn-ý
postižených	po-stiž-en-ých
očíhnul	o-číh-nu-l
takzvaný	tak-zv-a-n-ý
statečné	stat-eč-n-é
zhulit	z-hul-i-t
zřeďovat	z-řeď-ova-t
meziagenturním	mezi-agent-ur-n-ím
nahazovat	na-haz-ova-t
koruně	korun-ě
vyvést	vy-vést
roxby	roxby
střelec	střel-ec
přičísnout	při-čís-nou-t
získávat	získ-á-v-a-t
futsal	futsal
ucourat	u-cour-a-t
marketingové	market-ing-ov-é
zahmuřovávaně	za-hmuř-ová-v-a-n-ě
neuslyším	ne-u-slyš-í-m
vrátnice	vrát-nic-e
frajle	frajl-e
zaviňovat	za-viň-ova-t
nedopalek	ne-do-pal-ek
jachta	jacht-a
jelenohorský	jelen-o-hor-sk-ý
rozkulačit	roz-kulač-i-t
používávat	po-u-ží-v-á-v-a-t
rušný	ruš-n-ý
zasmušit	za-smuš-i-t
nařizují	na-řiz-uj-í
zblbit	z-blb-i-t
aeroplánem	aero-plán-em
vojtěch	vojtěch
nastřelit	na-střel-i-t
uživatelům	u-ži-v-a-tel-ům
zakletí	za-kle-t-í
hrnou	hrn-ou
zostřet	z-ostř-e-t
křápnutelně	křáp-nu-teln-ě
zažito	za-ži-t-o
odpomoci	od-po-moc-i
opravu	o-prav-u
symbolizovat	sym-bol-iz-ova-t
princátky	princ-át-k-y
postavila	po-stav-i-l-a
kinomaniak	kin-o-mani-ak
jiholibanonské	jih-o-libanon-sk-é
zahanbovávat	za-han-b-ová-v-a-t
povstávat	po-v-stá-v-a-t
vyhledávají	vy-hled-á-v-aj-í
vyskytují	vy-skyt-uj-í
oblepit	ob-lep-i-t
nitě	nit-ě
životopisce	ži-v-ot-o-pis-c-e
botnat	botn-a-t
auditu	audit-u
čtyřproudý	čtyř-proud-ý
odtočit	od-toč-i-t
ukápnout	u-káp-nou-t
těsnit	těsn-i-t
cestou	cest-ou
strkání	strk-á-n-í
francefús	francefús
posudků	po-sud-k-ů
deregulovat	de-reg-ul-ova-t
muškařit	muš-k-ař-i-t
tluče	tluč-e
schůzovat	s-chůz-ova-t
saturovat	sat-ur-ova-t
zasmolit	za-smol-i-t
fiola	fiol-a
zhebnout	z-heb-nou-t
žebráčkové	žebr-áč-k-ové
plakat	plak-a-t
přijmeme	při-j-me-me
odstínovat	od-stín-ova-t
ochraptělí	o-chrapt-ě-l-í
osma	osm-a
intimně	intim-n-ě
zamrzet	za-mrz-e-t
žijete	ži-j-e-te
doříkat	do-řík-a-t
plzeň	plzeň
defekt	de-fekt
spěšně	spěš-n-ě
souvislé	sou-vis-l-é
poincaré	poincaré
přeříkávat	pře-řík-á-v-a-t
necháte	nech-á-te
ucucávat	u-cuc-á-v-a-t
vymínit	vy-mín-i-t
hdp	h-d-p
fešný	fešn-ý
abstrahovat	abs-trah-ova-t
nevíru	ne-vír-u
ulička	ulič-k-a
vsunovat	v-sun-ova-t
podrazit	pod-raz-i-t
stříbřit	stříbř-i-t
mládí	mlád-í
vzali	vz-a-l-i
vychýlit	vy-chýl-i-t
morfologie	morf-o-log-i-e
odnesl	od-nes-l
žabožrout	žab-o-žr-out
neschopní	ne-s-chop-n-í
dotékat	do-ték-a-t
plátci	plát-c-i
for	for
spotřeba	s-po-třeb-a
dvojímu	dv-oj-ímu
omazávat	o-maz-á-v-a-t
katechizovat	ka-tec-hiz-ov-at
ironie	iron-i-e
nepochodil	ne-po-chod-i-l
uchovat	u-chov-a-t
cigaret	cigaret
čimčarují	čimčar-uj-í
došít	do-ší-t
vyplésti	vy-plés-ti
poškozujete	po-škoz-uje-te
milionář	mili-on-ář
přičmárnout	při-čmár-nou-t
související	sou-vis-ej-íc-í
nechtějí	ne-cht-ěj-í
milena	milen-a
napochodovat	na-po-chod-ova-t
uvedených	u-ved-en-ých
usekávat	u-sek-á-v-a-t
zla	zl-a
vyviklat	vy-vikl-a-t
uplít	u-plí-t
rozezněla	roze-zn-ě-l-a
přednášet	před-náš-e-t
zabělet	za-běl-e-t
bublá	bubl-á
odškrtávat	od-škrt-á-v-a-t
hysterčit	hyster-č-i-t
čssr	č-s-s-r
civilní	civil-n-í
zranit	z-ran-i-t
štoček	štoč-ek
nucen	nuc-en
zkvalitňovat	z-kvalit-ň-ova-t
fotoalbum	fot-o-alb-um
rozkovat	roz-kov-a-t
ochromit	o-chrom-i-t
bázeň	bá-zeň
čtyř	čtyř
sportcentrum	sport-centr-um
zhasl	z-has-l
rozumbrada	roz-um-brad-a
hladce	hlad-c-e
nakupuje	na-kup-uje
podělit	po-děl-i-t
trysknout	trysk-nou-t
sečkávat	se-čk-á-v-a-t
pohřbil	po-hřb-i-l
vyplesknout	vy-plesk-nou-t
samcova	samc-ov-a
vybrušovat	vy-bruš-ova-t
uvidíme	u-vid-í-me
nákladům	ná-klad-ům
aha	aha
rozvášňovat	roz-vášň-ova-t
přivrtané	při-vrt-a-n-é
šírat	šír-a-t
písemné	pís-emn-é
kulometného	kul-o-met-n-ého
takového	tak-ov-ého
sólokapr	sól-o-kapr
rozsršenost	roz-srš-en-ost
dvoumiliardový	dv-ou-miliard-ov-ý
komoře	komoř-e
zbujet	z-buj-e-t
pomazat	po-maz-a-t
epizoda	epizod-a
nejúčinnější	nej-ú-čin-n-ěj-š-í
nachmátnout	na-chmát-nou-t
zatýkat	za-týk-a-t
vysledovat	vy-sled-ova-t
doprodávat	do-pro-d-á-v-a-t
nečinně	ne-čin-n-ě
zabručet	za-bruč-e-t
namnožit	na-množ-i-t
ušlechtit	u-šlecht-i-t
dočítat	do-čít-a-t
hroudovat	hroud-ova-t
zaútočit	za-ú-toč-i-t
žlutošedý	žlut-o-šed-ý
připsat	při-ps-a-t
vodsaď	vod-saď
vlisa	vlis-a
prezentovat	pre-zent-ova-t
amerikánství	amerik-án-stv-í
brlení	brlen-í
dotázaný	do-táz-a-n-ý
zubech	zub-ech
prokvésti	pro-kvés-ti
snesou	s-nes-ou
stíhán	stíh-á-n
bakaná	bakan-á
lokalitách	lokal-it-ách
vyvinutí	vy-vi-nu-t-í
odrůsti	od-růs-ti
psychotropní	psych-o-trop-n-í
postoji	po-stoj-i
záclonky	zá-clon-k-y
stoletý	st-o-let-ý
posichrovat	po-sichr-ova-t
astrophytum	astrophytum
odklizovat	od-kliz-ova-t
úkoly	ú-kol-y
alternativami	alter-n-at-iv-ami
posvítit	po-svít-i-t
obšívat	ob-ší-v-a-t
rozdírat	roz-dír-a-t
skleněné	skl-en-ěn-é
kadlec	kadlec
nadskočit	nad-skoč-i-t
někde	ně-kd-e
zalykávat	za-lyk-á-v-a-t
expansion	expansion
mlít	ml-í-t
cárat	cár-a-t
hrnčířová	hrnč-íř-ová
zajizvovat	za-jizv-ova-t
holbenových	holben-ov-ých
zajel	za-je-l
napadne	na-pad-ne
znesvětit	z-nesv-ě-tit
překrásnou	pře-krás-n-ou
dobrý	dobr-ý
amino	amin-o
kořenovat	kořen-ova-t
sloučit	s-louč-i-t
zmedializovat	z-medi-al-iz-ova-t
vkout	v-kou-t
rozmachovat	roz-mach-ova-t
pokvést	po-kvés-t
procezovat	pro-cez-ova-t
využit	vy-u-ži-t
vyvázat	vy-váz-a-t
unikát	unik-át
spoluzaložit	spolu-za-lož-i-t
akvaristé	akvar-ist-é
ucpávat	u-cp-á-v-a-t
vybíračův	vy-bír-ač-ův
polynukleotidů	poly-nukle-ot-id-ů
účetní	ú-čet-n-í
vyřítit	vy-řít-i-t
všehomíru	všeh-o-mír-u
experimentálním	experi-ment-ál-n-ím
primitivizovat	prim-it-iv-iz-ova-t
ohňostroj	ohň-o-stroj
uvažují	u-važ-uj-í
babičko	bab-ičk-o
orýsovat	o-rýs-ova-t
přísně	přísn-ě
vysílit	vy-síl-i-t
škytat	škyt-a-t
pokouřit	po-kouř-i-t
oslí	osl-í
odlesňovat	od-les-ň-ova-t
pasta	past-a
sbírat	s-bír-a-t
pokovovat	po-kov-ova-t
dostatečných	do-sta-t-eč-n-ých
bělobradý	běl-o-brad-ý
předhistorie	před-histor-i-e
invaze	in-vaz-e
protislužba	proti-služ-b-a
zkudrnatět	z-kudr-n-at-ě-t
roland	roland
vypolíčkovat	vy-po-líč-k-ova-t
přesáhl	pře-sáh-l
osvětlení	o-svět-l-en-í
natlakovat	na-tlak-ova-t
předčítat	před-čít-a-t
perly	perl-y
procesech	proces-ech
poznamenat	po-znam-en-a-t
objíst	ob-jís-t
přišlechtit	při-šlecht-i-t
stočné	s-toč-n-é
aféra	afér-a
bělorusko	běl-o-rus-k-o
přivážet	při-váž-e-t
charentonskost	charenton-sk-ost
lampa	lamp-a
ztrácí	z-trác-í
přispěchávat	při-spěch-á-v-a-t
stočeno	s-toč-en-o
příslušenství	pří-sluš-en-stv-í
žijící	ži-j-íc-í
zainteresovaný	za-interes-ova-n-ý
rozsochat	roz-soch-a-t
bojí	boj-í
písmomalíř	pís-m-o-mal-íř
tratit	trat-i-t
přečerpávat	pře-čerp-á-v-a-t
velikého	vel-ik-ého
klíční	klíč-n-í
nad	nad
weihricha	weihrich-a
maršova	marš-ov-a
neváhají	ne-váh-aj-í
vykombinovat	vy-kom-bin-ova-t
varta	vart-a
trenérovi	tren-ér-ovi
vtkát	v-tk-á-t
aminu	amin-u
vřísknout	vřísk-nou-t
hlínu	hlín-u
doznala	do-zn-a-l-a
otužit	o-tuž-i-t
fet	fet
půdorysu	půd-o-rys-u
uznávání	u-zn-á-v-á-n-í
soptit	sopt-i-t
vyjádření	vy-jádř-en-í
odminovávat	od-min-ová-v-a-t
buchary	buchar-y
marcovy	marc-ov-y
vyznačovat	vy-znač-ova-t
zažvýkat	za-žvýk-a-t
bando	band-o
očitými	oč-it-ými
rozklápět	roz-kláp-ě-t
zamkne	za-mk-ne
šéfkouzelník	šéf-kouzel-ník
kostelec	kostelec
čeřivost	čeř-iv-ost
chtěnej	cht-ě-n-ej
sachr	sachr
pokreslovat	po-kres-l-ova-t
tvaroh	tvaroh
oč	o-č
finiš	finiš
vpíjet	v-píj-e-t
plynu	plyn-u
prosvěcovat	pro-svěc-ova-t
doprogramovat	do-pro-gram-ova-t
spojkami	s-poj-k-ami
šťourat	šťour-a-t
vzdělávat	vz-děl-á-v-a-t
lomil	lom-i-l
složit	s-lož-i-t
cameron	cameron
krytí	kry-t-í
dobírat	do-bír-a-t
dvouchórová	dv-ou-chór-ov-á
mámu	mám-u
zeměmi	zem-ěmi
ohmatával	o-hmat-á-v-a-l
soudcovat	soud-c-ova-t
kajka	kajk-a
mimořádná	mimo-řád-n-á
housle	hous-l-e
kočku	koč-k-u
sletě	s-let-ě
rozehrávat	roze-hrá-v-a-t
zahekat	za-hek-a-t
rozvrtat	roz-vrt-a-t
druhu	druh-u
rozbírat	roz-bír-a-t
diamantech	diamant-ech
sic	sic
malá	mal-á
znehybňovat	z-ne-hyb-ň-ova-t
hlinitojílovitý	hlin-it-o-jíl-ov-it-ý
způsobený	z-pů-sob-en-ý
šestnáctibitové	šest-náct-i-bit-ov-é
zachumlávat	za-chuml-á-v-a-t
přispěchat	při-spěch-a-t
minulo	mi-nu-l-o
činitelů	čin-i-tel-ů
znamenat	znam-en-a-t
spolyká	s-polyk-á
kvit	kvit
tou	t-ou
dovolává	do-vol-á-v-á
rozmluvit	roz-mluv-i-t
vytasit	vy-tas-i-t
posílávat	po-síl-á-v-a-t
zajímavé	za-jím-a-v-é
vysvítat	vy-svít-a-t
dunět	dun-ě-t
grada	grad-a
čísel	čís-el
brně	brn-ě
drknout	drk-nou-t
jmelí	jmel-í
brrr	brrr
černooký	čern-o-ok-ý
spoután	s-pout-á-n
kapitalizovat	kapit-al-iz-ova-t
navářet	na-vář-e-t
vycinkat	vy-cink-a-t
slíkat	slík-a-t
zakvičet	za-kvič-e-t
klitoris	klitoris
škodit	škod-i-t
skreč	skreč
navazovat	na-vaz-ova-t
zavdat	za-v-d-a-t
opíkat	o-pík-a-t
hudbou	hud-b-ou
padělat	pa-děl-a-t
protiválečný	proti-váleč-n-ý
ztlušťovat	z-tlušť-ova-t
předpoklady	před-po-klad-y
punkto	punkto
žvástat	žvást-a-t
převlékl	pře-vlék-l
periférií	perifér-i-í
vzpomenou	vz-po-men-ou
žijeme	ži-je-me
jistit	jist-i-t
jihoatlantský	jih-o-atlant-sk-ý
bližního	bliž-n-ího
brna	brn-a
přejímce	pře-jím-c-e
kandidáty	kandid-át-y
osoušet	o-souš-e-t
reální	reál-n-í
vdýchnout	v-dých-nou-t
vykypět	vy-kyp-ě-t
cícha	cích-a
údržbu	ú-drž-b-u
pětihaléř	pět-i-haléř
bonitovat	bonit-ova-t
administrativa	administrativa
noví	nov-í
zaplácat	za-plác-a-t
podělaném	po-děl-a-n-ém
skutečného	skuteč-n-ého
sukénky	sukén-k-y
vrávorat	vrávor-a-t
přivýdělek	při-vý-děl-ek
třídit	tříd-i-t
uniformovaný	uni-form-ova-n-ý
brý	brý
nakysávat	na-kys-á-v-a-t
usínám	u-sín-á-m
viléma	vilém-a
vynaříkat	vy-na-řík-a-t
smilka	smilk-a
marš	marš
uvolněním	u-vol-n-ěn-ím
rozškubnout	roz-škub-nou-t
vysekaný	vy-sek-a-n-ý
savo	sav-o
plédovat	pléd-ova-t
zavalovat	za-val-ova-t
vzteku	vz-tek-u
ukradnout	u-krad-nou-t
sepnout	se-pn-ou-t
stálé	stál-é
konvenovat	kon-ven-ova-t
miliardový	mili-ard-ov-ý
krytosemenné	kryt-o-semen-n-é
mladých	mlad-ých
polycyklických	poly-cykl-ick-ých
žalářníkovi	žal-ář-n-ík-ovi
zhodnocení	z-hod-n-oc-en-í
předpisy	před-pis-y
prha	prh-a
enormní	enormn-í
naprosté	na-prost-é
jednosměrka	jedn-o-směr-k-a
drchat	drch-a-t
letouny	let-oun-y
univerzita	univerz-it-a
dvojjediný	dv-oj-jedin-ý
kdovíkde	kd-o-v-í-kde
přecházet	pře-cház-e-t
začepovat	za-čep-ova-t
krámy	krám-y
pasívního	pasív-n-ího
brambrdle	brambrdl-e
rozkousat	roz-kous-a-t
unudit	u-nud-i-t
revalvovat	re-valv-ova-t
přepádlovat	pře-pádl-ova-t
rozdrobit	roz-drob-i-t
nazdvíhat	na-zdvíh-a-t
dožití	do-ži-t-í
živelná	ži-v-el-n-á
napřažený	na-přaž-en-ý
klepny	klep-n-y
elektrotechnice	elektr-o-techn-ic-e
vykrajovat	vy-kraj-ova-t
reputace	reput-ac-e
vododržnost	vod-o-drž-n-ost
zbožštit	z-bož-št-i-t
extratřída	extra-tříd-a
rozdrásat	roz-drás-a-t
památník	památ-ník
plovavý	plov-av-ý
zavlíknout	za-vlík-nou-t
synonym	syno-nym
vyjádřeno	vy-jádř-en-o
šlechtit	šlecht-i-t
poznamenávat	po-znam-en-á-v-a-t
podívali	po-dív-a-l-i
fin	fin
pařátky	pařát-k-y
