Adding relation source: Homér#NNM??-----A---?, target smích#NNI??-----A---? which was originaly root
Adding relation source: odemknout#V????--??-??P??, target mykat#V????--??-??I?? which is root of tree containing odemykat#V????--??-??I?? which is derivation of odemknout#V????--??-??P?? or some of his children
Adding relation source: odpočinout#V????--??-??P??, target odpočatý#AA???----??---? which was originaly root
Adding relation source: odvaha#NNF??-----A---?, target váha#NNF??-----A---? which is root of tree containing odvážlivec#NNM??-----A---? which is derivation of odvaha#NNF??-----A---? or some of his children
Adding relation source: okluze#NNF??-----A---?, target okluzní#AA???----??---? which was originaly root
Adding relation source: opice#NNF??-----A---?, target op#NNM??-----A---? which was originaly root
Adding relation source: oplatka#NNF??-----A---?, target platit#V????--??-??I?? which is root of tree containing oplatek#NNI??-----A---? which is derivation of oplatka#NNF??-----A---? or some of his children
Adding relation source: orel#NNM??-----A---?, target orlice#NNF??-----A---? which was originaly root
Adding relation source: orgán#NNI??-----A---?, target organik#NNM??-----A---? which is root of tree containing organický#AA???----??---? which is derivation of orgán#NNI??-----A---? or some of his children
Adding relation source: orgán#NNM??-----A---?, target orgán#NNI??-----A---? which is root of tree containing organický#AA???----??---? which is derivation of orgán#NNM??-----A---? or some of his children
Adding relation source: originál#AAXXX----1A----, target originál#NNI??-----A---? which is root of tree containing originalita#NNF??-----A---? which is derivation of originál#AAXXX----1A---- or some of his children
Adding relation source: orodovat#V????--??-??I??, target orodovník#NNM??-----A---? which was originaly root
Adding relation source: osoba#NNF??-----A---?, target osobit#V????--??-??I?? which is root of tree containing osobovat#V????--??-??I?? which is derivation of osoba#NNF??-----A---? or some of his children
Adding relation source: paleolit#NNI??-----A---?, target paleolitický#AA???----??---? which was originaly root
Adding relation source: palice#NNF??-----A---?, target pálit#V????--??-??I?? which is root of tree containing palička#NNF??-----A---? which is derivation of palice#NNF??-----A---? or some of his children
Adding relation source: pan#NNMS?-----A---?, target panika#NNF??-----A---? which is root of tree containing panictví#NNN??-----A---? which is derivation of pan#NNMS?-----A---? or some of his children
Adding relation source: panel#NNI??-----A---?, target dům#NNI??-----A---? which is root of tree containing panelák#NNI??-----A---? which is derivation of panel#NNI??-----A---? or some of his children
Adding relation source: park#NNI??-----A---?, target parka#NNF??-----A---? which is root of tree containing parkový#AA???----??---? which is derivation of park#NNI??-----A---? or some of his children
Adding relation source: pastorek#NNM??-----A---?, target pastorovat#V????--??-??I?? which is root of tree containing pastorkyně#NNF??-----A---? which is derivation of pastorek#NNM??-----A---? or some of his children
Adding relation source: pat#NNI??-----A---?, target pata#NNF??-----A---? which is root of tree containing patový#AA???----??---? which is derivation of pat#NNI??-----A---? or some of his children
Adding relation source: patent#NNI??-----A---?, target patentka#NNF??-----A---? which was originaly root
Adding relation source: pathos#NNI??-----A---?, target patetický#AA???----??---? which was originaly root
Adding relation source: patron#NNM??-----A---?, target patrona#NNF??-----A---? which is root of tree containing patronka#NNF??-----A---? which is derivation of patron#NNM??-----A---? or some of his children
Adding relation source: patřit#V????--??-??I??, target nedopatření#NNN??-----A---? which was originaly root
Adding relation source: pauza#NNF??-----A---?, target papír#NNI??-----A---? which is root of tree containing pauzák#NNI??-----A---? which is derivation of pauza#NNF??-----A---? or some of his children
Adding relation source: pavouk#NNI??-----A---?, target pavouk#NNM??-----A---? which is root of tree containing pavučina#NNF??-----A---? which is derivation of pavouk#NNI??-----A---? or some of his children
Adding relation source: pašije#NNFP?-----A---?, target pašije#NNF??-----A---? which is root of tree containing pašijový#AA???----??---? which is derivation of pašije#NNFP?-----A---? or some of his children
Adding relation source: pendl#NNI??-----A---?, target pendlovky#NNFP?-----A---? which was originaly root
Adding relation source: perfektní#AA???----??---?, target perfektivum#NNN??-----A---? which is root of tree containing perfektivní#AA???----1?---? which is derivation of perfektní#AA???----??---? or some of his children
Adding relation source: pes#NNM??-----A---?, target psovský#AA???----??---? which was originaly root
Adding relation source: petrolej#NNF??-----A---?, target petrolej#NNI??-----A---? which is root of tree containing petrolejový#AA???----??---? which is derivation of petrolej#NNF??-----A---? or some of his children
Adding relation source: petrolej#NNF??-----A---?, target lampa#NNF??-----A---? which is root of tree containing petrolejka#NNF??-----A---? which is derivation of petrolej#NNF??-----A---? or some of his children
Adding relation source: pečovat#V????--??-??I??, target bezpečí#NNN??-----A---? which was originaly root
Adding relation source: pinďour#NNM??-----A---?, target pindík#NNI??-----A---? which was originaly root
Adding relation source: pionýr#NNI??-----A---?, target pionýr#NNM??-----A---? which is root of tree containing pionýrský#AA???----??---? which is derivation of pionýr#NNI??-----A---? or some of his children
Adding relation source: plavat#V????--??-??I??, target rozplavba#NNF??-----A---? which was originaly root
Adding relation source: plavý#AA???----??---?, target vlas#NNI??-----A---? which is root of tree containing plavovlasý#AA???----??---? which is derivation of plavý#AA???----??---? or some of his children
Adding relation source: plemeno#NNN??-----A---?, target plemenit#V????--??-??I?? which was originaly root
Adding relation source: plesat#V????--??-??I??, target pleso#NNN??-----A---? which is root of tree containing plesový#AA???----??---? which is derivation of plesat#V????--??-??I?? or some of his children
Adding relation source: plevel#NNI??-----A---?, target plevelit#V????--??-??I?? which is root of tree containing plevelný#AA???----??---? which is derivation of plevel#NNI??-----A---? or some of his children
Adding relation source: plihnout#V????--??-??I??, target zplíhat#V????--??-??I?? which is root of tree containing zplihlý#AA???----??---? which is derivation of plihnout#V????--??-??I?? or some of his children
Adding relation source: plout#V????--??-??I??, target plovoucí#AA???----1?---? which was originaly root
Adding relation source: plus#Db-------------, target plus#NNI??-----A---? which is root of tree containing plusový#AA???----??---? which is derivation of plus#Db------------- or some of his children
Adding relation source: polyetylen#NNI??-----A---?, target polyethylen#NNI??-----A---? which is root of tree containing polyetylenový#AA???----??---? which is derivation of polyetylen#NNI??-----A---? or some of his children
Adding relation source: porfyr#NNI??-----A---?, target porfyrie#NNF??-----A---? which is root of tree containing porfyrický#AA???----??---? which is derivation of porfyr#NNI??-----A---? or some of his children
Adding relation source: potvora#NNF??-----A---?, target tvořit#V????--??-??I?? which is root of tree containing zpotvořit#V????--??-??P?? which is derivation of potvora#NNF??-----A---? or some of his children
Adding relation source: pozdě#Dg-------?A---?, target pozdější#AA???----1?---? which was originaly root
Adding relation source: pozřít#V????--??-??P??, target mršit#V????--??-??I?? which is root of tree containing požírat#V????--??-??I?? which is derivation of pozřít#V????--??-??P?? or some of his children
Adding relation source: pošta#NNF??-----A---?, target ruka#NNF??-----A---? which is root of tree containing pošťačka#NNF??-----A---? which is derivation of pošta#NNF??-----A---? or some of his children
Adding relation source: prach#NNI??-----A---?, target prchat#V????--??-??I?? which is root of tree containing sprchový#AA???----??---? which is derivation of prach#NNI??-----A---? or some of his children
Adding relation source: pravý#AA???----??---?, target hřib#NNI??-----A---? which is root of tree containing pravák#NNM??-----A---? which is derivation of pravý#AA???----??---? or some of his children
Adding relation source: pravý#AA???----??---?, target svéprávný#AA???----??---? which was originaly root
Adding relation source: praxe#NNF??-----A---?, target praktikovat#V????--??-??I?? which was originaly root
Adding relation source: pražit#V????--??-??I??, target vyprahat#V????--??-??I?? which is root of tree containing vyprahlý#AA???----??---? which is derivation of pražit#V????--??-??I?? or some of his children
Adding relation source: prestiž#NNI??-----A---?, target prestiž#NNF??-----A---? which is root of tree containing prestižní#AA???----??---? which is derivation of prestiž#NNI??-----A---? or some of his children
Adding relation source: prezentovat#V????--??-??B??, target reprezentance#NNF??-----A---? which is root of tree containing reprezentativní#AA???----??---? which is derivation of prezentovat#V????--??-??B?? or some of his children
Adding relation source: prezident#NNM??-----?---?, target prezidium#NNN??-----A---? which was originaly root
Adding relation source: proba#NNF??-----A---?, target prubnout#V????--??-??P?? which was originaly root
Adding relation source: produkt#NNI??-----A---?, target reprodukce#NNF??-----A---? which is root of tree containing reproduktor#NNI??-----A---? which is derivation of produkt#NNI??-----A---? or some of his children
Adding relation source: projekt#NNI??-----A---?, target projekce#NNF??-----A---? which is root of tree containing projekční#AA???----1?---? which is derivation of projekt#NNI??-----A---? or some of his children
Adding relation source: prominent#NNM??-----A---?, target prominence#NNF??-----A---? which is root of tree containing prominentní#AA???----??---? which is derivation of prominent#NNM??-----A---? or some of his children
Adding relation source: promoce#NNF??-----A---?, target mnout#V????--??-??I?? which is root of tree containing promovat#V????--??-??I?? which is derivation of promoce#NNF??-----A---? or some of his children
Adding relation source: promítnout#V????--??-??P??, target stroj#NNI??-----A---? which is root of tree containing promítačka#NNF??-----A---? which is derivation of promítnout#V????--??-??P?? or some of his children
Adding relation source: prosektura#NNF??-----A---?, target prosektor#NNM??-----A---? which was originaly root
Adding relation source: prosodie#NNF??-----A---?, target prozodický#AA???----??---? which was originaly root
Adding relation source: prosperovat#V????--??-??I??, target prosperita#NNF??-----A---? which was originaly root
Adding relation source: prostituce#NNF??-----A---?, target prostitut#NNM??-----A---? which is root of tree containing prostitutka#NNF??-----A---? which is derivation of prostituce#NNF??-----A---? or some of his children
Adding relation source: prostý#A????----??---?, target prostný#AA???----??---? which is root of tree containing prostná#NNNP?-----A---- which is derivation of prostý#A????----??---? or some of his children
Adding relation source: prostý#A????----??---?, target prostovlasý#AA???----??---? which was originaly root
Adding relation source: prostý#A????----??---?, target prostoduchý#AA???----??---? which was originaly root
Adding relation source: prostý#A????----??---?, target vyprostit#V????--??-??P?? which was originaly root
Adding relation source: prostý#A????----??---?, target prostořeký#AA???----1?---? which was originaly root
Adding relation source: proud#NNI??-----A---?, target proudit#V????--??-??I?? which is root of tree containing proudění#NNN??-----?---? which is derivation of proud#NNI??-----A---? or some of his children
Adding relation source: provizorní#AA???----??---?, target provisorium#NNN??-----A---? which is root of tree containing provizorium#NNN??-----A---? which is derivation of provizorní#AA???----??---? or some of his children
Adding relation source: prvý#AA???----1?---?, target první#AA???----??---? which is root of tree containing prvenství#NNN??-----A---? which is derivation of prvý#AA???----1?---? or some of his children
Adding relation source: prám#NNI??-----A---?, target pramice#NNF??-----A---? which was originaly root
Adding relation source: puberta#NNF??-----A---?, target pubescent#NNM??-----A---? which was originaly root
Adding relation source: publikum#NNN??-----A---?, target publicistika#NNF??-----A---? which is root of tree containing publicistický#AA???----??---? which is derivation of publikum#NNN??-----A---? or some of his children
Adding relation source: pucovat#V????--??-??I??, target puc#NNI??-----A---? which was originaly root
Adding relation source: pudr#NNI??-----A---?, target pudřenka#NNF??-----A---? which was originaly root
Adding relation source: pumpa#NNF??-----A---?, target pumpnout#V????--??-??P?? which is root of tree containing zapumpovat#V????--??-??P?? which is derivation of pumpa#NNF??-----A---? or some of his children
Adding relation source: punc#NNI??-----A---?, target puncovat#V????--??-??I?? which was originaly root
Adding relation source: pupen#NNI??-----A---?, target poupě#NNN??-----A---? which was originaly root
Adding relation source: putička#NNF??-----A---?, target puta#NNF??-----A---? which is root of tree containing puťka#NNF??-----A---- which is derivation of putička#NNF??-----A---? or some of his children
Adding relation source: pár#NNI??-----A---?, target spára#NNF??-----A---? which is root of tree containing spárovat#V????--??-??I?? which is derivation of pár#NNI??-----A---? or some of his children
Adding relation source: pára#NNF??-----A---?, target pár#NNI??-----A---? which is root of tree containing parný#AA???----??---? which is derivation of pára#NNF??-----A---? or some of his children
Adding relation source: pás#NNI??-----A---?, target pást#V????--??-??I?? which is root of tree containing opasek#NNI??-----A---? which is derivation of pás#NNI??-----A---? or some of his children
Adding relation source: pít#V????--??-??I??, target pojit#V????--??-??I?? which is root of tree containing nápoj#NNI??-----A---? which is derivation of pít#V????--??-??I?? or some of his children
Adding relation source: pít#V????--??-??I??, target var#NNI??-----A---? which is root of tree containing pivovarnictví#NNN??-----A---? which is derivation of pít#V????--??-??I?? or some of his children
Adding relation source: píď#NNF??-----A---?, target pidimuž#NNM??-----A---? which is root of tree containing pidimužík#NNM??-----A---? which is derivation of píď#NNF??-----A---? or some of his children
Adding relation source: pól#NNI??-----A---?, target polára#NNF??-----A---? which is root of tree containing polární#AA???----1?---? which is derivation of pól#NNI??-----A---? or some of his children
Adding relation source: pólo#NNN??-----A---?, target pól#NNI??-----A---? which is root of tree containing pólista#NNM??-----A---? which is derivation of pólo#NNN??-----A---? or some of his children
Adding relation source: přitom#Db-------------, target duchapřítomný#AA???----??---? which was originaly root
Adding relation source: přímý#AA???----??---?, target přímočarý#AA???----??---? which was originaly root
Adding relation source: přísný#AA???----??---?, target přísnět#V????--??-??I?? which was originaly root
Adding relation source: příst#V????--??-??I??, target přást#NNI??-----A---? which is root of tree containing zapřádat#V????--??-??I?? which is derivation of příst#V????--??-??I?? or some of his children
Adding relation source: přít#V????--??-??I??, target spor#NNI??-----A---? which is root of tree containing sporný#A????----??---? which is derivation of přít#V????--??-??I?? or some of his children
Adding relation source: přít#V????--??-??I??, target podpořit#V????--??-??P?? which is root of tree containing podpora#NNF??-----A---? which is derivation of přít#V????--??-??I?? or some of his children
Adding relation source: půda#NNF??-----A---?, target půdorys#NNI??-----A---? which was originaly root
Adding relation source: rada#NNM??-----A---?, target rada#NNF??-----A---? which is root of tree containing radniční#AA???----??---? which is derivation of rada#NNM??-----A---? or some of his children
Adding relation source: rafije#NNF??-----A---?, target rafika#NNF??-----A---? which is root of tree containing rafička#NNF??-----A---? which is derivation of rafije#NNF??-----A---? or some of his children
Adding relation source: rarach#NNM??-----A---?, target raráš#NNM??-----A---? which is root of tree containing rarášek#NNM??-----A---? which is derivation of rarach#NNM??-----A---? or some of his children
Adding relation source: recidiva#NNF??-----A---?, target recidivizmus#NNI??-----A---? which is root of tree containing recidivista#NNM??-----A---? which is derivation of recidiva#NNF??-----A---? or some of his children
Adding relation source: reflex#NNI??-----A---?, target reflexe#NNF??-----A---? which is root of tree containing reflexivní#AA???----??---? which is derivation of reflex#NNI??-----A---? or some of his children
Adding relation source: reforma#NNF??-----A---?, target forma#NNF??-----A---? which is root of tree containing reformátor#NNM??-----A---? which is derivation of reforma#NNF??-----A---? or some of his children
Adding relation source: region#NNI??-----A---?, target regionál#NNI??-----A---? which is root of tree containing regionalismus#NNI??-----A---? which is derivation of region#NNI??-----A---? or some of his children
Adding relation source: registr#NNI??-----A---?, target registratura#NNF??-----A---? which was originaly root
Adding relation source: reklama#NNF??-----A---?, target reklamovat#V????--??-??I?? which was originaly root
Adding relation source: rekord#NNI??-----A---?, target rekordman#NNM??-----A---? which was originaly root
Adding relation source: religiosní#AA???----??---?, target religionistika#NNF??-----A---? which was originaly root
Adding relation source: renomé#NNNXX-----A----, target renomovat#V????--??-??B?? which is root of tree containing renomovaný#AA???----??---? which is derivation of renomé#NNNXX-----A---- or some of his children
Adding relation source: revma#NNN??-----A---?, target revmatizmus#NNI??-----A---? which is root of tree containing revmatismus#NNI??-----A---? which is derivation of revma#NNN??-----A---? or some of his children
Adding relation source: rezerva#NNF??-----A---?, target rezervovat#V????--??-??B?? which was originaly root
Adding relation source: rezonovat#V????--??-??I??, target rezonance#NNF??-----A---? which is root of tree containing rezonanční#AA???----1?---? which is derivation of rezonovat#V????--??-??I?? or some of his children
Adding relation source: rezultát#NNI??-----A---?, target rezultovat#V????--??-??I?? which was originaly root
Adding relation source: robot#NNI??-----A---?, target drobit#V????--??-??I?? which is root of tree containing robotizace#NNF??-----A---? which is derivation of robot#NNI??-----A---? or some of his children
Adding relation source: rock#AAXXX----1A----, target rock#NNIS?-----A---- which is root of tree containing rockový#AA???----??---? which is derivation of rock#AAXXX----1A---- or some of his children
Adding relation source: rod#NNI??-----A---?, target zárod#NNI??-----A---? which is root of tree containing zárodek#NNI??-----A---? which is derivation of rod#NNI??-----A---? or some of his children
Adding relation source: roh#NNI??-----A---?, target nároží#NNN??-----A---? which was originaly root
Adding relation source: román#NNI??-----A---?, target romanopisec#NNM??-----A---? which was originaly root
Adding relation source: ronit#V????--??-??I??, target řinout#V????--??-??I?? which is root of tree containing výron#NNI??-----A---? which is derivation of ronit#V????--??-??I?? or some of his children
Adding relation source: ropa#NNF??-----A---?, target ropovod#NNI??-----A---? which was originaly root
Adding relation source: rota#NNF??-----A---?, target rotmistr#NNM??-----A---? which was originaly root
Adding relation source: roubit#V????--??-??I??, target rub#NNI??-----A---? which is root of tree containing zárubeň#NNF??-----A---? which is derivation of roubit#V????--??-??I?? or some of his children
Adding relation source: roubit#V????--??-??I??, target obroubit#V????--??-??P?? which is root of tree containing obruba#NNF??-----A---? which is derivation of roubit#V????--??-??I?? or some of his children
Adding relation source: roští#NNN??-----A---?, target rošťák#NNM??-----A---? which is root of tree containing rošťárna#NNF??-----A---? which is derivation of roští#NNN??-----A---? or some of his children
Adding relation source: rudý#AA???----??---?, target zarudat#V????--??-??I?? which is root of tree containing zarudlý#AA???----??---? which is derivation of rudý#AA???----??---? or some of his children
Adding relation source: rudý#AA???----??---?, target vyrudat#V????--??-??I?? which is root of tree containing vyrudnout#V????--??-??P?? which is derivation of rudý#AA???----??---? or some of his children
Adding relation source: rusý#AA???----??---?, target dívka#NNF??-----A---? which is root of tree containing rusovláska#NNF??-----A---? which is derivation of rusý#AA???----??---? or some of his children
Adding relation source: rušit#V????--??-??I??, target porouchat#V????--??-??P?? which is root of tree containing poruchový#AA???----??---? which is derivation of rušit#V????--??-??I?? or some of his children
Adding relation source: rušit#V????--??-??I??, target vzruch#NNI??-----A---? which was originaly root
Adding relation source: rychta#NNF??-----A---?, target rychtovat#V????--??-??I?? which was originaly root
Adding relation source: rád#AC???-----?----, target rozradostnět#V????--??-??P?? which is root of tree containing rozradostněný#AA???----??---? which is derivation of rád#AC???-----?---- or some of his children
Adding relation source: rána#NNF??-----A---?, target hojit#V????--??-??I?? which is root of tree containing ranhojič#NNM??-----A---? which is derivation of rána#NNF??-----A---? or some of his children
Adding relation source: ráno#Db-------------, target raný#AA???----??---? which is root of tree containing ranní#AA???----1?---? which is derivation of ráno#Db------------- or some of his children
Adding relation source: růže#NNF??-----A---?, target růžovka#NNF??-----A---? which was originaly root
Adding relation source: sahat#V????--??-??I??, target zasahat#V????--??-??I?? which is root of tree containing zasáhnout#V????--??-??P?? which is derivation of sahat#V????--??-??I?? or some of his children
Adding relation source: sardel#NNF??-----A---?, target sardinka#NNF??-----A---? which was originaly root
Adding relation source: sardel#NNF??-----A---?, target sardel#NNI??-----A---? which is root of tree containing sardelový#AA???----??---? which is derivation of sardel#NNF??-----A---? or some of his children
Adding relation source: sarkazmus#NNI??-----A---?, target sarkastický#AA???----??---? which was originaly root
Adding relation source: satan#NNM??-----A---?, target satanáš#NNM??-----A---? which was originaly root
Adding relation source: satan#NNM??-----A---?, target satanizmus#NNI??-----A---? which is root of tree containing satanismus#NNI??-----A---? which is derivation of satan#NNM??-----A---? or some of his children
Adding relation source: satelit#NNM??-----A---?, target satelit#NNI??-----A---? which is root of tree containing satelitní#AA???----1?---? which is derivation of satelit#NNM??-----A---? or some of his children
Adding relation source: scéna#NNF??-----A---?, target scénáristika#NNF??-----A---? which is root of tree containing scenáristický#AA???----??---? which is derivation of scéna#NNF??-----A---? or some of his children
Adding relation source: sedět#V????--??-??I??, target souprava#NNF??-----A---? which is root of tree containing sedačka#NNF??-----A---? which is derivation of sedět#V????--??-??I?? or some of his children
Adding relation source: seizmograf#NNI??-----A---?, target seizmický#AA???----??---? which was originaly root
Adding relation source: seizmograf#NNI??-----A---?, target seizmologie#NNF??-----A---? which was originaly root
Adding relation source: sekretář#NNI??-----A---?, target sekretář#NNM??-----A---? which is root of tree containing sekretářka#NNF??-----A---? which is derivation of sekretář#NNI??-----A---? or some of his children
Adding relation source: selekce#NNF??-----A---?, target selektiva#NNF??-----A---? which is root of tree containing selektivní#AA???----??---? which is derivation of selekce#NNF??-----A---? or some of his children
Adding relation source: semifinále#NNN??-----A---?, target semifinalista#NNM??-----A---? which is root of tree containing semifinalistka#NNF??-----A---? which is derivation of semifinále#NNN??-----A---? or some of his children
Adding relation source: sen#NNI??-----A---?, target sen#NNI??-----A---? which is root of tree containing snít#V????--??-??I?? which is derivation of sen#NNI??-----A---? or some of his children
Adding relation source: separovat#V????--??-??B??, target separatizmus#NNI??-----A---? which is root of tree containing separatismus#NNI??-----A---? which is derivation of separovat#V????--??-??B?? or some of his children
Adding relation source: separovat#V????--??-??B??, target separátní#AA???----1?---? which was originaly root
Adding relation source: sepse#NNF??-----A---?, target septik#NNI??-----A---? which is root of tree containing septický#AA???----??---? which is derivation of sepse#NNF??-----A---? or some of his children
Adding relation source: sex#NNI??-----A---?, target sexus#NNI??-----A---? which is root of tree containing sexualita#NNF??-----A---? which is derivation of sex#NNI??-----A---? or some of his children
Adding relation source: silon#NNI??-----A---?, target noha#NNF??-----A---? which is root of tree containing silonka#NNF??-----A---? which is derivation of silon#NNI??-----A---? or some of his children
Adding relation source: simplifikace#NNF??-----A---?, target simplifikovat#V????--??-??B?? which was originaly root
Adding relation source: skaut#NNI??-----A---?, target skaut#NNM??-----A---? which is root of tree containing skautský#AA???----??---? which is derivation of skaut#NNI??-----A---? or some of his children
Adding relation source: skica#NNF??-----A---?, target skicnout#V????--??-??P?? which is root of tree containing skicovat#V????--??-??I?? which is derivation of skica#NNF??-----A---? or some of his children
Adding relation source: skinhead#NNXXX-----A----, target skinhead#NNM??-----A---? which is root of tree containing skinheadský#AA???----??---? which is derivation of skinhead#NNXXX-----A---- or some of his children
Adding relation source: sklo#NNN??-----A---?, target sklovatět#V????--??-??I?? which was originaly root
Adding relation source: skočit#V????--??-??P??, target skokanka#NNF??-----A---? which was originaly root
Adding relation source: skreč#NNF??-----A---?, target skrečovat#V????--??-??B?? which was originaly root
Adding relation source: skreč#NNI??-----A---?, target skreč#NNF??-----A---? which is root of tree containing skrečovat#V????--??-??B?? which is derivation of skreč#NNI??-----A---? or some of his children
Adding relation source: skvít#Vf--------A----, target skvět#V???---??-??I?? which is root of tree containing skvostný#AA???----??---? which is derivation of skvít#Vf--------A---- or some of his children
Adding relation source: skvít#Vf--------A----, target skvoucí#AA???----1?---? which was originaly root
Adding relation source: skýtat#V????--??-??I??, target naskytnout#V????--??-??P?? which was originaly root
Adding relation source: sladký#AA???----??---?, target ladit#V????--??-??I?? which is root of tree containing sladidlo#NNN??-----A---? which is derivation of sladký#AA???----??---? or some of his children
Adding relation source: sled#NNI??-----A---?, target následný#AA???----??---? which was originaly root
Adding relation source: sled#NNI??-----A---?, target naposled#Db------------- which is root of tree containing naposledy#Db------------- which is derivation of sled#NNI??-----A---? or some of his children
Adding relation source: slouha#NNM??-----A----, target sloužit#V????--??-??I?? which is root of tree containing posloužit#V????--??-??P?? which is derivation of slouha#NNM??-----A---- or some of his children
Adding relation source: slout#V????--??-??I??, target násloví#NNN??-----A---? which was originaly root
Adding relation source: slout#V????--??-??I??, target lovit#V????--??-??I?? which is root of tree containing úsloví#NNN??-----A---? which is derivation of slout#V????--??-??I?? or some of his children
Adding relation source: sláma#NNF??-----A---?, target klobouk#NNI??-----A---? which is root of tree containing slamák#NNI??-----A---? which is derivation of sláma#NNF??-----A---? or some of his children
Adding relation source: smeč#NNI??-----A---?, target smeč#NNF??-----A---? which is root of tree containing smečařka#NNF??-----A---? which is derivation of smeč#NNI??-----A---? or some of his children
Adding relation source: smrdět#V????--??-??I??, target smradit#V????--??-??I?? which is root of tree containing nasmradit#V????--??-??P?? which is derivation of smrdět#V????--??-??I?? or some of his children
Adding relation source: smutný#A????----??---?, target smutnět#V?????????????? which is root of tree containing rozesmutnět#V?????????????? which is derivation of smutný#A????----??---? or some of his children
Adding relation source: sofistika#NNF??-----A---?, target sofista#NNM??-----A---? which was originaly root
Adding relation source: sok#NNI??-----A---?, target sok#NNM??-----A---? which is root of tree containing sokyně#NNF??-----A---? which is derivation of sok#NNI??-----A---? or some of his children
Adding relation source: sokol#NNI??-----A---?, target sokol#NNM??-----?---? which is root of tree containing sokolí#AA???----1?---? which is derivation of sokol#NNI??-----A---? or some of his children
Adding relation source: soprán#NNI??-----A---?, target sopranista#NNM??-----A---? which is root of tree containing sopranistka#NNF??-----A---? which is derivation of soprán#NNI??-----A---? or some of his children
Adding relation source: soudit#V????--??-??I??, target předsudek#NNI??-----A---? which was originaly root
Adding relation source: soužit#V????--??-??I??, target úzký#AA???----??---? which is root of tree containing sužovat#V????--??-??I?? which is derivation of soužit#V????--??-??I?? or some of his children
Adding relation source: specifikum#NNN??-----A---?, target specifikovat#V????--??-??B?? which was originaly root
Adding relation source: spravedlivý#A????----??---?, target spravedlný#AA???----??---? which is root of tree containing ospravedlnit#V????--??-??P?? which is derivation of spravedlivý#A????----??---? or some of his children
Adding relation source: sprej#NNI??-----A---?, target spray#NNI??-----A---- which is root of tree containing sprejový#AA???----??---? which is derivation of sprej#NNI??-----A---? or some of his children
Adding relation source: správa#NNF??-----A---?, target pravý#AA???----??---? which is root of tree containing spravovat#V????--??-??I?? which is derivation of správa#NNF??-----A---? or some of his children
Adding relation source: spět#V????--??-??I??, target spěchat#V????--??-??I?? which is root of tree containing spěšnina#NNF??-----A---? which is derivation of spět#V????--??-??I?? or some of his children
Adding relation source: spět#V????--??-??I??, target prospěch#NNI??-----A---? which is root of tree containing prospěšný#A????----??---? which is derivation of spět#V????--??-??I?? or some of his children
Adding relation source: srát#V????--??-??I??, target zesrat#V????--??-??P?? which was originaly root
Adding relation source: starý#A????----??---?, target starat#V????--??-??I?? which is root of tree containing zastarat#V????--??-??P?? which is derivation of starý#A????----??---? or some of his children
Adding relation source: status#NNI??-----A---?, target statovat#V????--??-??I?? which was originaly root
Adding relation source: step#NNI??-----A---?, target step#NNF??-----A---- which is root of tree containing stepní#AA???----1?---? which is derivation of step#NNI??-----A---? or some of his children
Adding relation source: stihat#V????--??-??I??, target letoun#NNM??-----A---? which is root of tree containing stíhačka#NNF??-----A---? which is derivation of stihat#V????--??-??I?? or some of his children
Adding relation source: stihat#V????--??-??I??, target postižený#AA???----??---? which was originaly root
Adding relation source: stlát#V????--??-??I??, target postlat#V????--??-??P?? which is root of tree containing postel#NNF??-----A---? which is derivation of stlát#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target přistoupit#V????--??-??P?? which is root of tree containing přístupný#A????----??---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target postoupit#V????--??-??P?? which is root of tree containing postupový#AA???----??---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target stoupit#V????--??-??P?? which is root of tree containing odstoupit#V????--??-??P?? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target přestoupit#V????--??-??P?? which was originaly root
Adding relation source: stoupat#V????--??-??I??, target vstoupit#V????--??-??P?? which is root of tree containing vstupní#AA???----1?---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target zastoupit#V????--??-??P?? which is root of tree containing zástupný#AA???----??---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target vystoupit#V????--??-??P?? which is root of tree containing výstup#NNI??-----A---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target nastoupit#V????--??-??P?? which is root of tree containing nástup#NNI??-----A---? which is derivation of stoupat#V????--??-??I?? or some of his children
Adding relation source: stoupat#V????--??-??I??, target sestoupit#V????--??-??P?? which was originaly root
Adding relation source: stoupat#V????--??-??I??, target ustoupit#V????--??-??P?? which was originaly root
Adding relation source: stoupat#V????--??-??I??, target předstoupit#V????--??-??P?? which was originaly root
Adding relation source: streptokok#NNM??-----A---?, target streptokok#NNI??-----A---? which is root of tree containing streptokokový#AA???----1?---? which is derivation of streptokok#NNM??-----A---? or some of his children
Adding relation source: studený#AA???----??---?, target vystydat#V????--??-??I?? which is root of tree containing vystydnout#V????--??-??P?? which is derivation of studený#AA???----??---? or some of his children
